Transaction Date,Account Category,Amount,Invoice,Voucher Number,PO Number,Status,Account Number,Legal Entity,Line of Business,Project ID,Supplier,Month
2023-01-01,Opex,15756,5412,325081,PO74076,Open,679390,NL02,10100,NL02-08,Supplier C,1
2023-01-01,Opex,17366,642,853535,PO27112,Open,675308,NL02,10100,NL02-08,Supplier D,1
2023-01-02,Capex,95557,658,177019,PO70751,Open,165030,NL02,10100,NL02-08,Supplier F,1
2023-01-04,Capex,36561,9676,526510,PO08489,Closed,181032,NL01,10100,NL01-13,Supplier F,1
2023-01-05,Opex,1698,2548,775931,PO14646,Closed,667341,NL01,10100,NL01-13,Supplier E,1
2023-01-07,Opex,12968,223,590543,PO70281,Open,689044,NL02,10100,NL02-08,Supplier B,1
2023-01-08,Capex,78422,357,817250,PO38315,Closed,181030,NL01,10100,NL01-13,Supplier B,1
2023-01-09,Opex,1264,7141,554215,PO00903,Open,607411,NL01,10001,NL01-15,Supplier C,1
2023-01-11,Capex,61162,7010,830471,PO11971,Open,165032,NL02,10100,NL02-08,Supplier G,1
2023-01-11,Opex,4099,4074,712186,PO08489,Closed,613848,NL01,10100,NL01-13,Supplier F,1
2023-01-13,Opex,7619,6583,706213,PO39619,Open,628115,NL02,10100,NL02-08,Supplier F,1
2023-01-13,Capex,33910,4324,21110,PO80257,Closed,181030,NL01,10100,NL01-13,Supplier C,1
2023-01-14,Capex,23241,9574,1682,PO41365,Open,181032,NL01,10001,NL01-15,Supplier B,1
2023-01-15,Opex,6413,5393,160298,PO58584,Open,689352,NL02,10100,NL02-08,Supplier A,1
2023-01-18,Opex,7539,6263,384811,PO14611,Open,617952,NL02,10100,NL02-08,Supplier C,1
2023-01-22,Capex,83137,1176,297669,PO64915,Open,165032,NL02,10100,NL02-08,Supplier D,1
2023-01-26,Capex,90150,8105,178755,PO66452,Open,165030,NL02,10100,NL02-08,Supplier D,1
2023-01-26,Opex,6879,2434,942315,PO72566,Open,672871,NL02,10100,NL02-08,Supplier A,1
2023-01-28,Opex,6517,4376,550830,PO98820,Open,663511,NL02,10100,NL02-08,Supplier C,1
2023-01-29,Opex,3363,8497,811032,PO64093,Open,668211,NL02,10100,NL02-08,Supplier E,1
2023-01-30,Opex,17892,6381,521927,PO93071,Open,660345,NL02,10100,NL02-08,Supplier F,1
2023-01-31,Opex,1414,8704,381055,PO02408,Closed,664821,NL01,10100,NL01-13,Supplier C,1
2023-02-03,Opex,2826,3681,304433,PO02408,Closed,646890,NL01,10100,NL01-13,Supplier C,2
2023-02-08,Opex,12685,2882,984711,PO93071,Open,650747,NL02,10100,NL02-08,Supplier F,2
