Transaction Date,Account Category,Amount,Invoice,Voucher Number,PO Number,Status,Account Number,Legal Entity,Line of Business,Project ID,Supplier
2023-11-24,Capex,57344,5835,024282,PO56986,Open,165030,NL02,10100,NL02-08,Supplier A
2023-12-25,Capex,92291,1979,086057,PO70281,Open,165032,NL02,10100,NL02-08,Supplier B
2023-04-07,Capex,68868,5708,614256,PO56722,Open,165032,NL02,10100,NL02-08,Supplier C
2023-12-27,Capex,47747,2195,942384,PO43776,Open,165030,NL02,10100,NL02-08,Supplier D
2023-04-23,Capex,66697,0918,414420,PO40674,Open,165030,NL02,10100,NL02-08,Supplier E
2023-03-30,Capex,86538,8932,135769,PO29440,Open,165030,NL02,10100,NL02-08,Supplier F
2023-07-22,Capex,72076,4034,867515,PO11971,Open,165030,NL02,10100,NL02-08,Supplier G
2023-08-06,Capex,20237,7686,851870,PO56722,Open,165032,NL02,10100,NL02-08,Supplier C
2023-10-29,Capex,18322,4076,959233,PO72267,Open,165032,NL02,10100,NL02-08,Supplier A
2023-12-09,Capex,29717,2587,493926,PO42295,Open,165032,NL02,10100,NL02-08,Supplier B
2023-02-25,Capex,52759,7772,351203,PO75764,Open,165032,NL02,10100,NL02-08,Supplier C
2023-04-11,Capex,48537,2839,715297,PO38088,Open,165032,NL02,10100,NL02-08,Supplier D
2023-04-09,Capex,82587,3682,018722,PO08654,Open,165030,NL02,10100,NL02-08,Supplier E
2023-04-16,Capex,35358,1948,007482,PO59900,Open,165030,NL02,10100,NL02-08,Supplier F
2023-03-23,Capex,74910,7684,100185,PO04893,Open,165032,NL02,10100,NL02-08,Supplier G
2023-04-13,Capex,22434,2407,286326,PO11631,Open,165030,NL02,10100,NL02-08,Supplier A
2023-11-29,Capex,60835,3312,778623,PO73506,Open,165032,NL02,10100,NL02-08,Supplier B
2023-06-27,Capex,52644,5927,297075,PO74076,Open,165030,NL02,10100,NL02-08,Supplier C
2023-01-26,Capex,90150,8105,178755,PO66452,Open,165030,NL02,10100,NL02-08,Supplier D
2023-10-27,Capex,62504,8831,365862,PO63242,Open,165032,NL02,10100,NL02-08,Supplier E
